"Time [s]";"Pressure [mmHg]";
6.39;171.22;
6.40;179.34;
6.41;180.11;
6.42;175.55;
6.43;180.56;
6.44;177.64;
6.45;174.38;
6.46;180.91;
6.47;177.56;
6.48;173.27;
6.49;180.66;
6.50;177.64;
6.51;172.62;
6.52;180.48;
6.53;178.81;
6.54;171.84;
6.55;179.80;
6.56;178.84;
6.57;172.55;
6.58;179.06;
6.59;179.84;
6.60;176.03;
6.61;179.72;
6.62;178.23;
6.63;175.84;
6.64;179.17;
6.65;180.05;
6.66;177.81;
6.67;176.30;
6.68;178.84;
6.69;178.33;
6.70;176.20;
6.71;178.27;
6.72;178.55;
6.73;176.19;
6.74;177.81;
6.75;178.67;
6.76;176.38;
6.77;177.62;
6.78;178.80;
6.79;176.59;
6.80;177.39;
6.81;178.86;
6.82;176.84;
6.83;176.92;
6.84;178.64;
6.85;177.19;
6.86;176.66;
6.87;178.34;
6.88;177.33;
6.89;176.50;
6.90;178.17;
6.91;177.58;
6.92;176.67;
6.93;177.86;
6.94;177.91;
6.95;176.50;
6.96;177.61;
6.97;177.95;
6.98;176.52;
6.99;177.23;
7.00;178.12;
7.01;176.72;
7.02;177.05;
7.03;178.11;
7.04;177.12;
7.05;176.88;
7.06;177.98;
7.07;177.30;
7.08;176.83;
7.09;177.86;
7.10;177.30;
7.11;176.75;
7.12;177.70;
7.13;177.36;
7.14;176.84;
7.15;177.70;
7.16;177.45;
7.17;176.56;
7.18;177.58;
7.19;177.58;
7.20;176.53;
7.21;177.47;
7.22;177.67;
7.23;176.41;
7.24;177.33;
7.25;177.86;
7.26;176.36;
7.27;177.12;
7.28;178.05;
7.29;176.25;
7.30;177.12;
7.31;178.23;
7.32;175.34;
7.33;176.36;
7.34;178.91;
7.35;177.80;
7.36;177.11;
7.37;176.05;
7.38;177.62;
7.39;177.52;
7.40;175.97;
7.41;177.38;
7.42;177.70;
7.43;175.91;
7.44;177.11;
7.45;178.00;
7.46;175.28;
7.47;176.52;
7.48;178.77;
7.49;176.06;
7.50;175.16;
7.51;178.52;
7.52;179.20;
7.53;174.89;
7.54;175.67;
7.55;179.50;
7.56;177.78;
7.57;172.00;
7.58;178.25;
7.59;178.64;
7.60;173.00;
7.61;178.38;
7.62;177.64;
7.63;173.75;
7.64;178.42;
7.65;177.81;
7.66;173.53;
7.67;177.95;
7.68;178.22;
7.69;173.62;
7.70;177.86;
7.71;179.20;
7.72;173.38;
7.73;176.41;
7.74;179.95;
7.75;173.69;
7.76;175.44;
7.77;180.09;
7.78;173.77;
7.79;173.59;
7.80;180.73;
7.81;175.77;
7.82;176.36;
7.83;179.56;
7.84;176.39;
7.85;175.38;
7.86;179.16;
7.87;179.45;
7.88;172.39;
7.89;176.45;
7.90;180.27;
7.91;172.91;
7.92;176.95;
7.93;179.75;
7.94;172.56;
7.95;176.34;
7.96;180.39;
7.97;169.38;
7.98;159.92;
7.99;157.30;
8.00;144.86;
8.01;142.52;
8.02;132.39;
8.03;124.97;
8.04;134.70;
