"Time [s]";"Pressure [mmHg]";
10.03;181.70;
10.04;180.95;
10.05;176.03;
10.06;182.12;
10.07;181.77;
10.08;175.34;
10.09;181.09;
10.10;183.36;
10.11;175.27;
10.12;179.12;
10.13;186.11;
10.14;179.47;
10.15;173.89;
10.16;182.38;
10.17;180.81;
10.18;178.77;
10.19;182.91;
10.20;178.11;
10.21;177.55;
10.22;183.36;
10.23;178.58;
10.24;176.83;
10.25;183.41;
10.26;179.89;
10.27;175.44;
10.28;182.27;
10.29;185.03;
10.30;175.66;
10.31;176.75;
10.32;183.53;
10.33;177.78;
10.34;177.84;
10.35;183.25;
10.36;178.17;
10.37;177.12;
10.38;183.25;
10.39;179.16;
10.40;176.48;
10.41;182.48;
10.42;179.36;
10.43;180.06;
10.44;181.80;
10.45;177.48;
10.46;179.69;
10.47;184.12;
10.48;179.73;
10.49;174.75;
10.50;181.89;
10.51;180.86;
10.52;176.30;
10.53;181.27;
10.54;181.52;
10.55;178.59;
10.56;181.95;
10.57;179.14;
10.58;177.77;
10.59;182.30;
10.60;179.83;
10.61;176.88;
10.62;181.77;
10.63;181.59;
10.64;176.20;
10.65;180.39;
10.66;184.97;
10.67;178.11;
10.68;175.62;
10.69;182.59;
10.70;179.31;
10.71;176.70;
10.72;182.17;
10.73;180.41;
10.74;177.48;
10.75;181.53;
10.76;179.06;
10.77;176.86;
10.78;181.53;
10.79;183.98;
10.80;176.66;
10.81;177.06;
10.82;182.56;
10.83;178.30;
10.84;178.19;
10.85;182.23;
10.86;178.52;
10.87;177.50;
10.88;182.17;
10.89;179.34;
10.90;176.91;
10.91;181.73;
10.92;179.17;
10.93;180.28;
10.94;182.88;
10.95;178.47;
10.96;176.83;
10.97;182.59;
10.98;180.70;
10.99;175.53;
11.00;180.97;
11.01;181.98;
11.02;176.23;
11.03;179.69;
11.04;182.38;
11.05;176.78;
11.06;179.08;
11.07;184.41;
11.08;179.72;
11.09;174.86;
11.10;181.84;
11.11;185.11;
11.12;176.20;
11.13;176.53;
11.14;182.70;
11.15;178.08;
11.16;177.28;
11.17;182.73;
11.18;179.20;
11.19;176.66;
11.20;182.12;
11.21;180.00;
11.22;179.33;
11.23;183.48;
11.24;179.81;
11.25;175.08;
11.26;181.56;
11.27;184.86;
11.28;176.16;
11.29;176.44;
11.30;183.00;
11.31;178.52;
11.32;176.58;
11.33;182.48;
11.34;180.70;
11.35;175.33;
11.36;180.78;
11.37;182.05;
11.38;175.97;
11.39;179.41;
11.40;182.52;
11.41;176.81;
11.42;178.30;
11.43;182.73;
11.44;177.88;
11.45;177.34;
11.46;180.84;
11.47;168.36;
11.48;156.03;
11.49;148.58;
11.50;143.53;
11.51;136.23;
11.52;128.08;
11.53;122.30;
11.54;124.92;
11.55;127.02;
11.56;123.39;
11.57;123.84;
11.58;126.05;
11.59;123.97;
11.60;123.36;
11.61;124.61;
11.62;124.98;
11.63;123.47;
11.64;126.09;
11.65;125.69;
11.66;122.31;
11.67;124.44;
11.68;125.17;
11.69;123.34;
11.70;125.17;
11.71;126.66;
11.72;122.73;
11.73;124.64;
11.74;125.89;
11.75;122.78;
11.76;123.62;
11.77;124.94;
11.78;123.80;
11.79;124.17;
11.80;126.28;
11.81;123.41;
11.82;123.91;
11.83;125.44;
11.84;123.44;
11.85;123.22;
11.86;124.16;
11.87;124.59;
11.88;123.41;
11.89;125.44;
11.90;124.48;
11.91;122.69;
11.92;123.70;
11.93;126.02;
11.94;124.22;
11.95;122.75;
11.96;125.00;
11.97;125.02;
11.98;122.70;
11.99;124.28;
12.00;126.27;
12.01;123.30;
12.02;122.55;
12.03;124.73;
12.04;124.95;
12.05;123.20;
12.06;124.91;
12.07;124.61;
12.08;123.12;
12.09;124.50;
12.10;125.22;
12.11;123.02;
12.12;123.84;
12.13;125.88;
12.14;124.17;
12.15;123.47;
12.16;125.62;
12.17;124.67;
12.18;123.06;
12.19;125.33;
12.20;125.31;
12.21;122.33;
12.22;123.31;
12.23;125.45;
12.24;124.14;
12.25;123.30;
12.26;124.59;
12.27;124.39;
12.28;123.66;
12.29;125.02;
12.30;124.20;
12.31;123.19;
12.32;123.97;
12.33;125.45;
12.34;123.64;
12.35;123.14;
12.36;124.31;
12.37;125.58;
12.38;123.31;
12.39;123.20;
12.40;124.27;
12.41;124.80;
12.42;123.48;
12.43;124.98;
12.44;125.66;
12.45;122.89;
12.46;124.52;
12.47;124.75;
12.48;123.44;
12.49;125.25;
12.50;125.33;
12.51;122.53;
12.52;123.16;
12.53;125.58;
12.54;125.23;
12.55;122.25;
12.56;123.86;
12.57;124.95;
12.58;123.78;
12.59;124.50;
12.60;125.58;
12.61;123.17;
12.62;123.20;
12.63;124.48;
12.64;124.50;
12.65;123.81;
12.66;125.06;
12.67;124.41;
12.68;123.73;
12.69;125.78;
12.70;124.39;
12.71;120.39;
12.72;115.92;
12.73;110.84;
12.74;106.44;
12.75;101.80;
12.76;97.22;
12.77;93.88;
12.78;95.25;
12.79;96.50;
12.80;94.41;
12.81;94.53;
12.82;95.86;
12.83;94.81;
12.84;94.45;
12.85;95.61;
12.86;94.97;
12.87;94.34;
12.88;95.31;
12.89;94.95;
12.90;94.55;
12.91;95.11;
12.92;95.03;
12.93;94.66;
12.94;94.95;
12.95;95.14;
12.96;94.77;
12.97;94.84;
12.98;95.12;
12.99;94.78;
13.00;94.89;
13.01;94.91;
13.02;94.92;
13.03;95.00;
13.04;94.91;
13.05;95.00;
13.06;94.84;
13.07;95.05;
13.08;94.80;
13.09;95.02;
13.10;95.05;
13.11;94.94;
13.12;94.98;
13.13;94.88;
13.14;95.02;
13.15;94.89;
13.16;95.19;
13.17;94.89;
13.18;94.81;
13.19;95.16;
13.20;94.80;
13.21;94.86;
13.22;95.17;
13.23;95.03;
13.24;94.83;
13.25;95.19;
13.26;94.97;
13.27;94.84;
13.28;95.16;
13.29;95.11;
13.30;94.95;
13.31;94.89;
13.32;95.22;
13.33;95.02;
13.34;94.89;
13.35;95.11;
13.36;95.02;
13.37;95.03;
13.38;94.98;
13.39;95.05;
13.40;95.02;
13.41;95.00;
13.42;94.95;
13.43;95.09;
13.44;95.02;
13.45;94.83;
13.46;95.19;
13.47;95.05;
13.48;94.81;
13.49;95.19;
13.50;95.14;
13.51;94.94;
13.52;95.05;
13.53;95.12;
13.54;95.02;
13.55;94.92;
13.56;95.20;
13.57;95.03;
13.58;95.05;
13.59;94.92;
13.60;95.17;
13.61;95.06;
13.62;94.91;
13.63;95.16;
13.64;95.06;
13.65;95.02;
13.66;94.97;
13.67;95.08;
13.68;94.98;
13.69;95.05;
13.70;95.08;
13.71;94.94;
13.72;95.11;
13.73;94.98;
13.74;94.92;
13.75;95.28;
13.76;94.84;
13.77;95.02;
13.78;95.25;
13.79;94.89;
13.80;95.03;
13.81;95.11;
13.82;95.06;
13.83;94.95;
13.84;95.14;
13.85;94.97;
13.86;95.17;
13.87;95.09;
13.88;94.91;
13.89;95.22;
13.90;95.84;
13.91;100.09;
13.92;104.06;
13.93;105.72;
13.94;109.27;
13.95;114.45;
13.96;116.47;
13.97;113.44;
13.98;113.31;
13.99;114.53;
14.00;115.08;
14.01;113.97;
14.02;114.83;
14.03;115.36;
14.04;113.73;
14.05;115.41;
14.06;115.88;
14.07;113.36;
14.08;114.17;
14.09;116.02;
14.10;114.84;
14.11;113.23;
14.12;114.11;
14.13;115.56;
14.14;114.95;
14.15;113.70;
14.16;115.14;
14.17;115.02;
14.18;113.80;
14.19;115.47;
14.20;115.22;
14.21;113.48;
14.22;114.97;
14.23;115.39;
14.24;113.72;
14.25;114.31;
14.26;115.41;
14.27;114.00;
14.28;114.38;
14.29;115.52;
14.30;114.05;
14.31;114.42;
14.32;115.77;
14.33;114.00;
14.34;113.77;
14.35;114.53;
14.36;114.89;
14.37;114.08;
14.38;114.48;
14.39;115.14;
14.40;113.95;
14.41;114.44;
14.42;115.23;
14.43;113.89;
14.44;114.66;
14.45;115.92;
14.46;113.70;
14.47;113.55;
14.48;114.23;
14.49;115.42;
14.50;114.22;
14.51;113.94;
14.52;115.02;
14.53;114.70;
14.54;113.98;
14.55;114.78;
14.56;114.89;
14.57;113.67;
14.58;115.17;
14.59;115.39;
14.60;113.34;
14.61;113.84;
14.62;114.62;
14.63;115.14;
14.64;113.94;
14.65;114.83;
14.66;115.73;
14.67;113.42;
14.68;113.58;
14.69;114.52;
14.70;115.52;
14.71;113.97;
14.72;114.48;
14.73;115.73;
14.74;113.86;
14.75;113.50;
14.76;114.38;
14.77;115.06;
14.78;114.00;
14.79;114.53;
14.80;115.23;
14.81;113.92;
14.82;114.55;
14.83;115.33;
14.84;113.94;
14.85;114.41;
14.86;116.16;
14.87;114.20;
14.88;113.20;
14.89;114.33;
14.90;115.03;
14.91;114.33;
14.92;114.17;
14.93;115.11;
14.94;114.36;
14.95;114.02;
14.96;115.36;
14.97;114.22;
14.98;114.20;
14.99;115.75;
15.00;114.47;
15.01;113.44;
15.02;114.22;
15.03;115.58;
15.04;114.42;
15.05;113.61;
15.06;114.42;
15.07;115.58;
15.08;114.00;
15.09;114.33;
15.10;116.22;
15.11;116.16;
15.12;120.39;
15.13;127.09;
15.14;130.42;
15.15;133.75;
15.16;139.78;
15.17;143.83;
15.18;141.61;
15.19;137.98;
15.20;140.53;
15.21;143.08;
15.22;140.11;
15.23;141.05;
15.24;142.50;
15.25;140.25;
15.26;140.34;
15.27;141.38;
15.28;141.31;
15.29;140.70;
15.30;140.61;
15.31;140.34;
15.32;140.31;
15.33;141.03;
15.34;141.95;
15.35;140.75;
15.36;141.03;
15.37;141.67;
15.38;140.73;
15.39;140.78;
15.40;141.38;
15.41;142.05;
15.42;139.92;
15.43;140.42;
15.44;141.67;
15.45;142.30;
