経過時間_秒, A, HR, Mean, Phi, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
51.446, 4.6600, 76.8909, 4.0134, 2.6462, 134.31, 92.30, 0.4753, -0.8798, -4.0998, 2.2151, 1.3365, 735.0000, 784.6534, 1, 23, 0.1540, 9.7781, 9.6241, 3.5558, 0.5959, 0.4041, 134.31, 92.30, 134.31, 92.30, 0, 0, 1, ok
52.172, 4.4566, 79.6111, 6.3053, 2.4104, 127.29, 86.45, 0.6678, -0.7444, -3.3174, 2.9760, 0.9050, 804.0000, 780.3267, 1, 25, 0.4360, 9.8814, 9.4453, 3.2787, 0.5821, 0.4179, 127.29, 86.45, 127.29, 86.45, 0, 0, 1, ok
52.969, 2.9106, 77.4362, 7.5607, 2.4099, 119.19, 82.01, 0.6681, -0.7441, -2.1656, 1.9446, 0.7475, 771.0000, 753.6633, 1, 24, 2.5951, 9.9594, 7.3642, 2.1896, 0.6511, 0.3489, 119.19, 82.01, 119.19, 82.01, 0, 0, 1, ok
53.774, 2.9501, 75.9575, 7.5462, 2.1694, 114.70, 77.30, 0.8261, -0.5635, -1.6624, 2.4371, 0.8727, 740.0000, 774.8317, 1, 23, 2.2184, 9.9109, 7.6925, 2.2612, 0.6041, 0.3959, 114.70, 77.30, 114.70, 77.30, 0, 0, 1, ok
54.545, 3.2001, 76.8779, 5.0082, 1.9079, 111.86, 74.21, 0.9437, -0.3307, -1.0584, 3.0200, 1.7617, 801.0000, 789.9158, 1, 25, 0.2841, 9.3607, 9.0766, 2.8677, 0.5955, 0.4045, 111.86, 74.21, 111.86, 74.21, 0, 0, 1, ok
55.412, 1.9787, 72.8395, 2.2191, 2.4419, 119.75, 83.75, 0.6440, -0.7651, -1.5138, 1.2742, 0.4444, 801.0000, 780.4579, 1, 25, 0.1211, 4.7500, 4.6289, 1.4680, 0.5568, 0.4432, 119.75, 83.75, 119.75, 83.75, 0, 0, 1, ok
56.146, 4.4684, 77.0352, 3.9761, 2.6335, 134.16, 91.10, 0.4865, -0.8737, -3.9038, 2.1740, 1.4981, 758.0000, 823.7290, 1, 24, 0.2519, 9.8247, 9.5727, 3.4968, 0.5712, 0.4288, 134.16, 91.10, 134.16, 91.10, 0, 0, 1, ok
56.915, 4.8882, 77.4761, 5.6287, 2.3471, 128.19, 86.95, 0.7135, -0.7006, -3.4248, 3.4879, 0.5519, 875.0000, 778.8645, 1, 27, 0.3765, 9.8855, 9.5090, 3.5003, 0.5737, 0.4263, 128.19, 86.95, 128.19, 86.95, 0, 0, 1, ok
57.717, 3.7416, 76.1213, 6.7647, 2.3966, 123.50, 84.15, 0.6780, -0.7351, -2.7504, 2.5367, 1.1299, 736.0000, 774.4322, 1, 23, 0.5408, 9.8047, 9.2639, 2.8769, 0.5924, 0.4076, 123.50, 84.15, 123.50, 84.15, 0, 0, 1, ok
58.483, 4.3884, 77.2590, 5.8387, 2.3345, 125.87, 85.16, 0.7222, -0.6916, -3.0352, 3.1695, 0.8038, 768.0000, 788.2161, 1, 24, 0.4457, 9.6682, 9.2225, 3.2055, 0.5716, 0.4284, 125.87, 85.16, 125.87, 85.16, 0, 0, 1, ok
59.288, 4.5682, 75.8242, 5.5468, 2.2462, 124.63, 84.36, 0.7804, -0.6252, -2.8563, 3.5652, 0.7840, 799.0000, 776.6081, 1, 25, 0.2647, 9.7087, 9.4440, 3.3240, 0.5432, 0.4568, 124.63, 84.36, 124.63, 84.36, 0, 0, 1, ok
60.130, 4.3261, 73.5157, 5.7679, 2.2855, 124.66, 84.10, 0.7553, -0.6554, -2.8353, 3.2675, 0.8826, 767.0000, 791.3040, 1, 24, 0.4329, 9.7011, 9.2682, 3.1838, 0.5684, 0.4316, 124.66, 84.10, 124.66, 84.10, 0, 0, 1, ok
60.888, 4.6163, 76.1831, 5.3744, 2.3152, 127.35, 85.32, 0.7355, -0.6776, -3.1278, 3.3952, 0.6399, 801.0000, 816.1520, 1, 25, 0.3213, 9.7916, 9.4704, 3.3263, 0.5356, 0.4644, 127.35, 85.32, 127.35, 85.32, 0, 0, 1, ok
61.697, 3.9708, 75.2079, 4.4640, 2.1275, 120.35, 81.16, 0.8490, -0.5284, -2.0980, 3.3713, 0.6866, 839.0000, 787.5760, 1, 26, 0.2867, 8.8843, 8.5976, 2.8905, 0.5185, 0.4815, 120.35, 81.16, 120.35, 81.16, 0, 0, 1, ok
62.497, 4.1232, 75.0569, 3.7330, 2.4253, 128.14, 87.52, 0.6566, -0.7542, -3.1098, 2.7074, 0.9394, 764.0000, 797.7880, 1, 24, 0.1891, 9.3485, 9.1594, 3.0632, 0.5209, 0.4791, 128.14, 87.52, 128.14, 87.52, 0, 0, 1, ok
