経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, SBP, DBP, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
47.528, 9.2662, 78.9003, -0.5557, -0.5130, 3.4079, 124.26, 90.71, 6.9450, 2.5116, 0.5891, -0.8081, -3.1523, 2.2981, 807.0000, 786.9077, 1, 25, 0.6973, 9.8885, 9.1912, 2.9786, 0.6320, 0.3680, 124.26, 90.71, 124.26, 90.71, 0, 0, 1, ok
48.296, 9.3510, 78.5107, -0.6294, -0.5395, 3.5988, 122.04, 86.58, 6.4421, 2.4781, 0.6159, -0.7879, -3.3806, 2.6425, 767.0000, 760.4539, 1, 24, 0.6223, 9.7981, 9.1758, 3.2006, 0.6428, 0.3572, 122.04, 86.58, 122.04, 86.58, 0, 0, 1, ok
49.132, 9.4745, 74.9425, -0.6445, -0.3867, 3.6817, 121.22, 83.54, 5.8209, 2.1498, 0.8370, -0.5472, -2.5109, 3.8404, 733.0000, 764.2269, 1, 23, 0.4472, 9.8186, 9.3714, 3.3244, 0.5921, 0.4079, 121.22, 83.54, 121.22, 83.54, 0, 0, 1, ok
49.869, 9.2505, 78.0938, -0.4731, -0.6703, 3.5614, 115.83, 76.92, 5.1238, 1.9959, 0.9110, -0.4124, -1.7165, 3.7921, 764.0000, 800.6135, 1, 24, 0.3441, 9.4060, 9.0619, 3.0464, 0.5183, 0.4817, 115.83, 76.92, 115.83, 76.92, 0, 0, 1, ok
50.670, 5.5083, 76.4669, -0.5829, -0.4484, 2.3595, 105.87, 68.78, 2.9198, 2.2103, 0.8024, -0.5968, -1.5157, 2.0379, 836.0000, 768.3067, 1, 26, 0.1555, 6.4046, 6.2491, 1.9097, 0.5167, 0.4833, 105.87, 68.78, 105.87, 68.78, 0, 0, 1, ok
51.446, 9.3421, 76.8909, -0.4532, -0.4532, 4.4452, 130.99, 91.66, 4.0134, 2.5541, 0.5543, -0.8323, -3.8292, 2.5498, 735.0000, 784.6534, 1, 23, 0.1540, 9.7781, 9.6241, 3.5558, 0.5932, 0.4068, 130.99, 91.66, 130.99, 91.66, 0, 0, 1, ok
52.172, 7.2862, 79.6111, -0.5090, -0.5103, 3.9076, 125.92, 89.14, 6.3053, 2.3475, 0.7132, -0.7009, -3.1302, 3.1852, 804.0000, 780.3267, 1, 25, 0.4360, 9.8814, 9.4453, 3.2787, 0.5796, 0.4204, 125.92, 89.14, 125.92, 89.14, 0, 0, 1, ok
52.969, 7.7410, 77.4362, -0.5901, -0.4539, 2.3339, 104.77, 72.48, 7.5607, 2.3435, 0.7160, -0.6981, -2.0351, 2.0875, 771.0000, 753.6633, 1, 24, 2.5951, 9.9594, 7.3642, 2.1896, 0.6485, 0.3515, 104.77, 72.48, 104.77, 72.48, 0, 0, 1, ok
53.774, 9.6268, 75.9575, -0.5791, -0.4560, 2.3835, 104.16, 71.18, 7.5462, 2.0927, 0.8669, -0.4985, -1.4764, 2.5674, 740.0000, 774.8317, 1, 23, 2.2184, 9.9109, 7.6925, 2.2612, 0.6014, 0.3986, 104.16, 71.18, 104.16, 71.18, 0, 0, 1, ok
54.545, 7.3609, 76.8779, -0.5329, -0.7789, 2.8102, 107.19, 70.01, 5.0082, 1.8537, 0.9602, -0.2791, -0.9169, 3.1542, 802.0000, 789.9158, 1, 25, 0.2841, 9.3607, 9.0766, 2.8677, 0.5935, 0.4065, 107.19, 70.01, 107.19, 70.01, 0, 0, 1, ok
55.412, 4.4980, 72.8395, -0.5992, -0.4280, 1.8327, 96.31, 58.66, 2.2191, 2.3578, 0.7060, -0.7082, -1.4104, 1.4059, 800.0000, 780.4579, 1, 25, 0.1211, 4.7500, 4.6289, 1.4680, 0.5550, 0.4450, 96.31, 58.66, 96.31, 58.66, 0, 0, 1, ok
56.146, 9.4481, 77.0352, -0.4187, -0.3806, 4.4255, 130.43, 89.43, 3.9761, 2.5427, 0.5637, -0.8260, -3.6474, 2.4894, 759.0000, 823.7290, 1, 24, 0.2519, 9.8247, 9.5727, 3.4968, 0.5692, 0.4308, 130.43, 89.43, 130.43, 89.43, 0, 0, 1, ok
56.915, 9.3447, 77.4761, -0.5845, -0.4946, 4.1774, 131.99, 98.06, 5.6287, 2.2907, 0.7519, -0.6593, -3.2156, 3.6673, 874.0000, 778.8645, 1, 27, 0.3765, 9.8855, 9.5090, 3.5003, 0.5721, 0.4279, 131.99, 98.06, 131.99, 98.06, 0, 0, 1, ok
57.717, 9.3590, 76.1213, -0.6000, -0.4286, 3.3160, 117.10, 81.19, 6.7647, 2.3243, 0.7293, -0.6842, -2.5826, 2.7529, 737.0000, 774.4322, 1, 23, 0.5408, 9.8047, 9.2639, 2.8769, 0.5902, 0.4098, 117.10, 81.19, 117.10, 81.19, 0, 0, 1, ok
58.483, 9.4035, 77.2590, -0.5349, -0.4115, 3.7936, 121.52, 83.60, 5.8387, 2.2632, 0.7697, -0.6384, -2.8098, 3.3880, 767.0000, 788.2161, 1, 24, 0.4457, 9.6682, 9.2225, 3.2055, 0.5698, 0.4302, 121.52, 83.60, 121.52, 83.60, 0, 0, 1, ok
59.288, 9.2759, 75.8242, -0.6039, -0.4314, 3.9885, 125.73, 89.29, 5.5468, 2.1765, 0.8221, -0.5694, -2.6059, 3.7625, 800.0000, 776.6081, 1, 25, 0.2647, 9.7087, 9.4440, 3.3240, 0.5413, 0.4588, 125.73, 89.29, 125.73, 89.29, 0, 0, 1, ok
60.130, 9.3798, 73.5157, -0.6141, -0.4094, 3.7207, 120.51, 82.53, 5.7679, 2.2104, 0.8024, -0.5968, -2.5961, 3.4900, 766.0000, 791.3040, 1, 24, 0.4329, 9.7011, 9.2682, 3.1838, 0.5666, 0.4334, 120.51, 82.53, 120.51, 82.53, 0, 0, 1, ok
60.888, 9.5049, 76.1831, -0.5493, -0.3924, 4.1378, 125.65, 85.49, 5.3744, 2.2449, 0.7812, -0.6242, -2.8818, 3.6067, 801.0000, 816.1520, 1, 25, 0.3213, 9.7916, 9.4704, 3.3263, 0.5331, 0.4669, 125.65, 85.49, 125.65, 85.49, 0, 0, 1, ok
