session_id,elapsed_s,sample_index,effective_rate_hz,waveform_label,wave_bpm,peak_like,trough_like
cnap_20260402_165206,143.240974916,14325,100.006300630,ch2,136.912751678,199.111111111,196.000000000
cnap_20260402_165206,144.250791666,14426,100.006383559,ch2,127.659574468,199.117647059,196.000000000
cnap_20260402_165206,145.251744708,14526,100.005683437,ch2,130.601792574,199.111111111,196.000000000
cnap_20260402_165206,146.261336791,14627,100.005923103,ch2,128.000000000,199.176470588,196.062500000
cnap_20260402_165206,147.261588583,14727,100.005711888,ch2,131.953428202,199.166666667,196.058823529
cnap_20260402_165206,148.271909166,14828,100.005456754,ch2,131.105398458,199.055555556,196.000000000
cnap_20260402_165206,149.280124041,14929,100.006615723,ch2,133.858267717,199.055555556,196.000000000
cnap_20260402_165206,150.282212333,15029,100.005182028,ch2,132.985658409,199.111111111,196.000000000
cnap_20260402_165206,151.290106000,15130,100.006539753,ch2,136.708860759,199.105263158,196.000000000
cnap_20260402_165206,152.292589708,15230,100.004865826,ch2,132.295719844,199.111111111,196.000000000
cnap_20260402_165206,153.301444125,15331,100.005581079,ch2,134.742404227,199.111111111,196.000000000
cnap_20260402_165206,154.311848208,15432,100.005282674,ch2,137.229987294,199.052631579,196.000000000
cnap_20260402_165206,155.308803375,15531,100.000770481,ch2,130.937098845,199.055555556,196.000000000
cnap_20260402_165206,156.313818583,15632,100.003954492,ch2,130.268199234,199.055555556,196.000000000
cnap_20260402_165206,157.331277041,15734,100.005544326,ch2,135.638297872,199.055555556,196.000000000
cnap_20260402_165206,158.341751958,15835,100.005209013,ch2,133.159268930,199.000000000,196.000000000
cnap_20260402_165206,159.351920708,15936,100.005070094,ch2,129.113924051,199.000000000,195.941176471
cnap_20260402_165206,160.360115291,16037,100.006164070,ch2,129.277566540,199.000000000,195.882352941
cnap_20260402_165206,161.370858500,16138,100.005664901,ch2,124.675324675,199.058823529,195.875000000
cnap_20260402_165206,162.381995250,16239,100.004929580,ch2,125.162972621,199.117647059,195.875000000
cnap_20260402_165206,163.391811208,16340,100.005011752,ch2,125.490196078,199.176470588,195.875000000
cnap_20260402_165206,164.400138666,16441,100.005998373,ch2,129.606099111,199.166666667,195.882352941
cnap_20260402_165206,165.412236750,16542,100.004693274,ch2,119.363395225,199.250000000,195.933333333
cnap_20260402_165206,166.421312000,16643,100.005220485,ch2,119.680851064,199.250000000,196.000000000
cnap_20260402_165206,167.421470125,16743,100.005094851,ch2,123.393316195,199.235294118,195.937500000
cnap_20260402_165206,168.430740750,16844,100.005497363,ch2,123.870967742,199.235294118,195.937500000
cnap_20260402_165206,169.441414083,16945,100.005067189,ch2,129.032258065,199.176470588,195.937500000
cnap_20260402_165206,170.451752375,17046,100.004838686,ch2,130.601792574,199.111111111,195.941176471
cnap_20260402_165206,171.461780125,17147,100.004793998,ch2,128.859060403,199.117647059,195.937500000
cnap_20260402_165206,172.470970958,17248,100.005235108,ch2,133.682830931,199.111111111,195.882352941
cnap_20260402_165206,173.481806375,17349,100.004723046,ch2,132.295719844,199.055555556,195.882352941
cnap_20260402_165206,174.490705125,17450,100.005326860,ch2,133.507853403,199.055555556,195.882352941
cnap_20260402_165206,175.501755416,17551,100.004697722,ch2,127.490039841,199.117647059,195.937500000
cnap_20260402_165206,176.511873666,17652,100.004603846,ch2,131.274131274,199.111111111,195.882352941
cnap_20260402_165206,177.521924083,17753,100.004549250,ch2,133.682830931,199.166666667,195.941176471
cnap_20260402_165206,178.531290208,17854,100.004878580,ch2,132.812500000,199.222222222,195.941176471
cnap_20260402_165206,179.541387666,17955,100.004796852,ch2,133.682830931,199.166666667,195.941176471
cnap_20260402_165206,180.551870041,18056,100.004502838,ch2,128.463476071,199.166666667,196.000000000
cnap_20260402_165206,181.560808875,18157,100.005062285,ch2,133.507853403,199.166666667,196.000000000
cnap_20260402_165206,182.571914208,18258,100.004428826,ch2,132.124352332,199.166666667,196.000000000
cnap_20260402_165206,183.581917208,18359,100.004402826,ch2,127.320954907,199.117647059,196.000000000
cnap_20260402_165206,184.601805916,18461,100.004438789,ch2,127.152317881,199.117647059,196.000000000
cnap_20260402_165206,185.610673291,18562,100.005024878,ch2,131.612903226,199.055555556,196.058823529
cnap_20260402_165206,186.611711791,18662,100.004441420,ch2,134.210526316,199.000000000,196.058823529
cnap_20260402_165206,187.631783166,18764,100.004379234,ch2,138.586956522,199.000000000,196.058823529
cnap_20260402_165206,188.642042791,18865,100.004218152,ch2,136.000000000,199.000000000,196.058823529
cnap_20260402_165206,189.651788083,18966,100.004329997,ch2,133.333333333,199.000000000,196.058823529
cnap_20260402_165206,190.661951000,19067,100.004221608,ch2,137.096774194,199.000000000,196.117647059
cnap_20260402_165206,191.671824916,19168,100.004265146,ch2,135.638297872,199.000000000,196.058823529
cnap_20260402_165206,192.681799375,19269,100.004256045,ch2,132.812500000,199.000000000,196.000000000
cnap_20260402_165206,193.676829958,19368,100.001636769,ch2,125.000000000,199.000000000,196.062500000
cnap_20260402_165206,194.690792250,19470,100.004729422,ch2,125.490196078,199.000000000,196.000000000
cnap_20260402_165206,195.702051166,19571,100.004061702,ch2,127.659574468,199.058823529,196.062500000
cnap_20260402_165206,196.721861958,19673,100.004136826,ch2,124.031007752,199.058823529,196.125000000
cnap_20260402_165206,197.730848791,19774,100.004628114,ch2,125.819134993,199.058823529,196.062500000
cnap_20260402_165206,198.740287000,19875,100.004887283,ch2,124.352331606,199.058823529,196.000000000
cnap_20260402_165206,199.750429625,19976,100.004791166,ch2,128.170894526,199.058823529,196.000000000
cnap_20260402_165206,200.751849708,20076,100.004059884,ch2,128.787878788,199.055555556,195.941176471
cnap_20260402_165206,201.761357541,20177,100.004283506,ch2,131.782945736,199.055555556,195.941176471
cnap_20260402_165206,202.763181958,20273,99.983635117,ch2,129.936305732,199.166666667,195.941176471
cnap_20260402_165206,203.770788083,20378,100.004520725,ch2,130.434782609,199.111111111,195.882352941
cnap_20260402_165206,204.781449250,20479,100.004175549,ch2,134.034165572,199.111111111,195.882352941
cnap_20260402_165206,205.792014500,20580,100.003880374,ch2,129.936305732,199.111111111,195.941176471
cnap_20260402_165206,206.801820583,20681,100.003955196,ch2,130.268199234,199.111111111,195.941176471
cnap_20260402_165206,207.810660458,20782,100.004494255,ch2,134.210526316,199.111111111,195.941176471
cnap_20260402_165206,208.821443875,20883,100.004097340,ch2,128.463476071,199.111111111,195.941176471
cnap_20260402_165206,209.830372625,20984,100.004588170,ch2,136.000000000,199.111111111,196.000000000
cnap_20260402_165206,210.840512666,21085,100.004499768,ch2,133.159268930,199.055555556,196.000000000
cnap_20260402_165206,211.844828166,21185,100.002441331,ch2,135.638297872,199.055555556,196.000000000
cnap_20260402_165206,212.851815041,21286,100.003845379,ch2,130.102040816,199.055555556,196.000000000
cnap_20260402_165206,213.861322833,21387,100.004057380,ch2,132.467532468,199.055555556,196.000000000
cnap_20260402_165206,214.871718875,21488,100.003853986,ch2,135.099337748,199.055555556,196.000000000
cnap_20260402_165206,215.881982375,21589,100.003713893,ch2,137.579617834,199.052631579,196.000000000
cnap_20260402_165206,216.890780541,21690,100.004250738,ch2,132.639791938,199.055555556,196.000000000
cnap_20260402_165206,217.891718833,21790,100.003800588,ch2,139.917695473,199.055555556,196.000000000
cnap_20260402_165206,218.901341875,21891,100.003955264,ch2,134.387351779,199.055555556,196.000000000
