経過時間,現在時刻,計測回数,Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
53.891280542,2026-04-02T17:15:16,62,538.000000000,201.000000000,1021.000000000,1021.000000000
54.521388458,2026-04-02T17:15:16,63,527.000000000,201.000000000,1021.000000000,1020.000000000
55.110951583,2026-04-02T17:15:17,64,532.000000000,201.000000000,1021.000000000,1019.000000000
55.750852750,2026-04-02T17:15:18,65,533.000000000,200.000000000,1020.000000000,1021.000000000
56.370977250,2026-04-02T17:15:18,66,538.000000000,200.000000000,1021.000000000,1021.000000000
56.990957625,2026-04-02T17:15:19,67,544.000000000,201.000000000,1021.000000000,1021.000000000
57.631426208,2026-04-02T17:15:19,68,538.000000000,201.000000000,1021.000000000,1021.000000000
58.260744667,2026-04-02T17:15:20,69,533.000000000,201.000000000,1019.000000000,1021.000000000
58.881553417,2026-04-02T17:15:21,70,533.000000000,201.000000000,1020.000000000,1021.000000000
59.521668875,2026-04-02T17:15:21,71,532.000000000,201.000000000,1020.000000000,1020.000000000
60.130177500,2026-04-02T17:15:22,72,526.000000000,200.000000000,1020.000000000,1021.000000000
60.761476042,2026-04-02T17:15:23,73,515.000000000,200.000000000,1021.000000000,1021.000000000
61.288263292,2026-04-02T17:15:23,74,534.000000000,201.000000000,1019.000000000,1021.000000000
61.881113792,2026-04-02T17:15:24,75,469.000000000,200.000000000,1021.000000000,1020.000000000
62.460960667,2026-04-02T17:15:24,76,473.000000000,201.000000000,1020.000000000,1021.000000000
63.061746667,2026-04-02T17:15:25,77,477.000000000,200.000000000,1020.000000000,1020.000000000
63.661451458,2026-04-02T17:15:25,78,488.000000000,201.000000000,1019.000000000,1021.000000000
66.731596958,2026-04-02T17:15:29,79,447.000000000,200.000000000,1019.000000000,1020.000000000
67.340305333,2026-04-02T17:15:29,80,456.000000000,201.000000000,1018.000000000,1022.000000000
67.961407583,2026-04-02T17:15:30,81,465.000000000,200.000000000,1021.000000000,1019.000000000
68.551953083,2026-04-02T17:15:30,82,473.000000000,201.000000000,1020.000000000,1021.000000000
69.121450750,2026-04-02T17:15:31,83,489.000000000,200.000000000,1019.000000000,1021.000000000
69.970416208,2026-04-02T17:15:32,84,501.000000000,201.000000000,1019.000000000,1021.000000000
70.771498792,2026-04-02T17:15:33,85,533.000000000,201.000000000,1020.000000000,1021.000000000
71.581252583,2026-04-02T17:15:33,86,535.000000000,200.000000000,1020.000000000,1019.000000000
72.180288917,2026-04-02T17:15:34,87,535.000000000,201.000000000,1019.000000000,1020.000000000
72.850236833,2026-04-02T17:15:35,88,537.000000000,201.000000000,1019.000000000,1020.000000000
73.531330292,2026-04-02T17:15:35,89,540.000000000,200.000000000,1021.000000000,1020.000000000
74.251446958,2026-04-02T17:15:36,90,539.000000000,200.000000000,1020.000000000,1021.000000000
75.021426625,2026-04-02T17:15:37,91,525.000000000,201.000000000,1019.000000000,1020.000000000
75.741402750,2026-04-02T17:15:38,92,514.000000000,202.000000000,1019.000000000,1020.000000000
77.290776667,2026-04-02T17:15:39,93,481.000000000,200.000000000,1021.000000000,1021.000000000
78.031513500,2026-04-02T17:15:40,94,506.000000000,201.000000000,1020.000000000,1021.000000000
78.721206542,2026-04-02T17:15:41,95,516.000000000,201.000000000,1020.000000000,1020.000000000
79.444962708,2026-04-02T17:15:41,96,518.000000000,201.000000000,1019.000000000,1021.000000000
80.091486042,2026-04-02T17:15:42,97,518.000000000,202.000000000,1019.000000000,1022.000000000
80.851452750,2026-04-02T17:15:43,98,520.000000000,201.000000000,1020.000000000,1018.000000000
81.571402333,2026-04-02T17:15:43,99,508.000000000,201.000000000,1019.000000000,1020.000000000
82.291582625,2026-04-02T17:15:44,100,514.000000000,201.000000000,1021.000000000,1020.000000000
82.940292458,2026-04-02T17:15:45,101,516.000000000,200.000000000,1017.000000000,1020.000000000
83.600154958,2026-04-02T17:15:45,102,521.000000000,201.000000000,1020.000000000,1021.000000000
84.291385917,2026-04-02T17:15:46,103,530.000000000,201.000000000,1020.000000000,1021.000000000
85.011487875,2026-04-02T17:15:47,104,538.000000000,203.000000000,1017.000000000,1021.000000000
85.790853917,2026-04-02T17:15:48,105,527.000000000,200.000000000,1021.000000000,1022.000000000
86.441491500,2026-04-02T17:15:48,106,550.000000000,201.000000000,1019.000000000,1021.000000000
87.121350292,2026-04-02T17:15:49,107,522.000000000,200.000000000,1021.000000000,1021.000000000
87.793819833,2026-04-02T17:15:50,108,511.000000000,200.000000000,1019.000000000,1021.000000000
88.241535458,2026-04-02T17:15:50,109,554.000000000,201.000000000,1017.000000000,1021.000000000
88.850073750,2026-04-02T17:15:51,110,743.000000000,200.000000000,1019.000000000,1019.000000000
92.461397375,2026-04-02T17:15:54,111,504.000000000,201.000000000,1019.000000000,1020.000000000
93.131420833,2026-04-02T17:15:55,112,540.000000000,201.000000000,1019.000000000,1021.000000000
93.761366417,2026-04-02T17:15:56,113,553.000000000,200.000000000,1019.000000000,1020.000000000
94.401194833,2026-04-02T17:15:56,114,510.000000000,201.000000000,1019.000000000,1019.000000000
94.991431167,2026-04-02T17:15:57,115,495.000000000,203.000000000,1021.000000000,1019.000000000
95.661370792,2026-04-02T17:15:57,116,539.000000000,201.000000000,1020.000000000,1021.000000000
96.290792208,2026-04-02T17:15:58,117,526.000000000,200.000000000,1021.000000000,1020.000000000
96.978792500,2026-04-02T17:15:59,118,522.000000000,200.000000000,1020.000000000,1021.000000000
97.540886167,2026-04-02T17:15:59,119,551.000000000,201.000000000,1021.000000000,1021.000000000
98.131307875,2026-04-02T17:16:00,120,573.000000000,200.000000000,1022.000000000,1019.000000000
