n,groups,mae_mean,rmse_mean,corr_mean,mae_sd,rmse_sd,corr_sd,axis,target,split,window_s,method
444,11,3.778717826579433,4.559084692118353,0.009562052483829592,1.9754384000218175,2.2717072774249396,0.34438377983128104,group_centered,ref_DBP,logo,0,SinBP_D_full
444,11,3.7682264353531183,4.546322347881129,0.011137997663164935,1.9811399256915547,2.276696189473618,0.34625134179285705,group_centered,ref_DBP,logo,0,SinBP_D_no_stiff
446,11,3.8319364945826693,4.515212261492825,0.020858070775324394,2.2068270803390195,2.5731913754796314,0.5262657595756812,group_centered,ref_DBP,logo,10,RTBP
455,11,3.1704268756628564,3.7846828080462327,-0.006384840126082763,1.606557371334832,2.0510820261289036,0.5829822275090503,group_centered,ref_DBP,logo,10,SinBP_M
444,11,3.3514638708896585,3.9715308624138697,-0.07774818280379936,1.7201380446208887,2.0438313673370905,0.5485564648201302,group_centered,ref_DBP,logo,10,SinBP_D_full
444,11,3.3424054712811073,3.956200561513753,-0.08497671601763765,1.7253568123561025,2.053577109937542,0.5553270247745463,group_centered,ref_DBP,logo,10,SinBP_D_no_stiff
446,11,3.4965678185863878,3.975352105645293,0.16827420776064275,2.4289809294620675,2.880001591865727,0.7735076737993485,group_centered,ref_DBP,logo,20,RTBP
455,11,2.8619622260267388,3.3003284096400676,-0.23795462177372154,1.7187294612473185,2.2034245059506303,0.7587347932224111,group_centered,ref_DBP,logo,20,SinBP_M
444,11,2.966431855775372,3.4202464578225773,0.07271542204554633,1.8843359406907583,2.303369620819426,0.8346125164336121,group_centered,ref_DBP,logo,20,SinBP_D_full
444,11,2.9547596055643535,3.4065040604240324,0.06913230236953621,1.8911889248488531,2.3124565473032375,0.8322814942661081,group_centered,ref_DBP,logo,20,SinBP_D_no_stiff
446,11,2.7913203018124046,2.8960082643859346,2.2204460492503132e-17,3.0470388323685103,3.115484466764442,1.0540925533894598,group_centered,ref_DBP,logo,30,RTBP
455,11,1.8981146211987294,2.0196121812080245,0.2,2.2503892836284214,2.3353503476409085,1.0327955589886444,group_centered,ref_DBP,logo,30,SinBP_M
444,11,1.9475242569661304,2.0968592723445814,3.3306690738754695e-17,2.299065692999222,2.444340724306694,1.0540925533894598,group_centered,ref_DBP,logo,30,SinBP_D_full
444,11,1.9402191004409284,2.0882179100754223,-4.4408920985006264e-17,2.301928143437072,2.446070518499691,1.0540925533894598,group_centered,ref_DBP,logo,30,SinBP_D_no_stiff
