経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
36.801, 2.1107, 91.8862, 7.4665, 2.4679, 2.1107, 91.8862, 7.4665, 0.6239, -0.7815, 113.99, 82.94, 0.6239, -0.7815, -1.6495, 1.3168, 0.4817, 597.0000, 652.9813, 1, 19, 5.0836, 9.7128, 4.6292, 1.5683, 0.6164, 0.3836, 113.99, 82.94, 113.99, 82.94, 0, 0, 0, 1, ok, ok
37.415, 4.3199, 101.1820, 5.3069, 2.7239, 4.3199, 101.1820, 5.3069, 0.4056, -0.9140, 127.40, 95.35, 0.4056, -0.9140, -3.9485, 1.7523, 0.4875, 705.0000, 592.9906, 1, 22, 0.4056, 9.3410, 8.9355, 3.0933, 0.6709, 0.3291, 127.40, 95.35, 127.40, 95.35, 0, 0, 0, 1, ok, ok
38.114, 2.5859, 99.4208, 7.1986, 2.9930, 2.5859, 99.4208, 7.1986, 0.1481, -0.9753, 123.04, 91.70, 0.1481, -0.9890, -2.5574, 0.3829, 0.1281, 559.0000, 603.4953, 1, 17, 4.6716, 9.8223, 5.1507, 1.8330, 0.7066, 0.2934, 123.04, 91.70, 123.04, 91.70, 0, 0, 1, 1, cosPhi:-0.9890->-0.9753, ok
38.680, 2.7410, 92.1308, 6.9467, 2.7961, 2.7410, 92.1308, 6.9467, 0.3387, -0.9409, 123.03, 89.57, 0.3387, -0.9409, -2.5790, 0.9284, 0.3162, 578.0000, 651.2477, 1, 18, 3.8398, 9.7924, 5.9526, 1.9638, 0.7076, 0.2924, 123.03, 89.57, 123.03, 89.57, 0, 0, 0, 1, ok, ok
39.313, 4.1353, 98.5021, 5.0668, 2.5973, 4.1353, 98.5021, 5.0668, 0.5178, -0.8555, 125.10, 92.92, 0.5178, -0.8555, -3.5377, 2.1414, 0.5782, 703.0000, 609.1238, 1, 22, 0.3525, 9.1795, 8.8271, 2.9807, 0.6259, 0.3741, 125.10, 92.92, 125.10, 92.92, 0, 0, 0, 1, ok, ok
39.976, 4.0194, 96.6866, 5.9053, 2.7507, 4.0194, 96.6866, 5.9053, 0.3810, -0.9246, 127.30, 93.77, 0.3810, -0.9246, -3.7162, 1.5316, 0.5473, 562.0000, 620.5619, 1, 18, 1.1136, 9.8073, 8.6937, 2.8944, 0.6103, 0.3897, 127.30, 93.77, 127.30, 93.77, 0, 0, 0, 1, ok, ok
40.652, 4.3956, 93.4898, 5.7514, 2.4706, 4.3956, 93.4898, 5.7514, 0.6218, -0.7832, 124.54, 90.31, 0.6218, -0.7832, -3.4427, 2.7330, 0.6704, 632.0000, 641.7810, 1, 20, 0.4964, 9.7681, 9.2717, 3.1796, 0.5744, 0.4256, 124.54, 90.31, 124.54, 90.31, 0, 0, 0, 1, ok, ok
41.252, 4.2818, 91.0622, 6.0563, 2.5303, 4.2818, 91.0622, 6.0563, 0.5739, -0.8189, 125.66, 90.38, 0.5739, -0.8189, -3.5064, 2.4573, 0.6839, 671.0000, 658.8905, 1, 21, 0.6387, 9.8138, 9.1752, 3.1039, 0.6021, 0.3979, 125.66, 90.38, 125.66, 90.38, 0, 0, 0, 1, ok, ok
41.915, 4.3125, 95.3220, 6.0684, 2.4023, 4.3125, 95.3220, 6.0684, 0.6738, -0.7389, 122.13, 88.99, 0.6738, -0.7389, -3.1866, 2.9057, 0.7570, 669.0000, 629.4452, 1, 21, 0.4191, 9.8753, 9.4562, 3.1420, 0.5979, 0.4021, 122.13, 88.99, 122.13, 88.99, 0, 0, 0, 1, ok, ok
42.513, 3.4968, 92.8473, 6.5944, 2.4330, 3.4968, 92.8473, 6.5944, 0.6507, -0.7593, 119.54, 86.67, 0.6507, -0.7593, -2.6551, 2.2755, 0.6568, 594.0000, 646.2226, 1, 19, 1.9793, 9.8495, 7.8702, 2.5583, 0.5556, 0.4444, 119.54, 86.67, 119.54, 86.67, 0, 0, 0, 1, ok, ok
43.290, 4.1053, 96.4458, 6.2560, 2.5501, 4.1053, 96.4458, 6.2560, 0.5576, -0.8301, 123.84, 90.93, 0.5576, -0.8301, -3.4079, 2.2892, 0.6884, 675.0000, 622.1113, 1, 21, 0.6865, 9.8465, 9.1600, 2.9834, 0.5985, 0.4015, 123.84, 90.93, 123.84, 90.93, 0, 0, 0, 1, ok, ok
43.822, 3.3498, 85.7687, 6.6304, 2.3578, 3.3498, 85.7687, 6.6304, 0.7060, -0.7082, 119.04, 83.86, 0.7060, -0.7082, -2.3725, 2.3649, 0.6166, 607.0000, 699.5557, 1, 19, 2.2640, 9.7377, 7.4738, 2.4476, 0.5519, 0.4481, 119.04, 83.86, 119.04, 83.86, 0, 0, 0, 1, ok, ok
44.490, 3.5811, 97.4377, 4.9744, 2.5008, 3.5811, 97.4377, 4.9744, 0.5978, -0.8016, 121.15, 89.93, 0.5978, -0.8016, -2.8706, 2.1410, 0.7899, 767.0000, 615.7778, 1, 24, 0.5493, 8.5857, 8.0363, 2.6526, 0.6128, 0.3872, 121.15, 89.93, 121.15, 89.93, 0, 0, 0, 1, ok, ok
45.154, 3.7906, 0.0000, 6.4318, 3.0776, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 121.15, 89.93, 0.0640, -0.9980, -3.7829, 0.2424, 0.4468, 527.0000, 0.0000, 0, 17, 2.0068, 9.8199, 7.8131, 2.7174, 0.6926, 0.3074, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
45.760, 3.6054, 91.8211, 6.5457, 2.5393, 3.6054, 91.8211, 6.5457, 0.5665, -0.8240, 122.43, 88.56, 0.5665, -0.8240, -2.9710, 2.0425, 0.7847, 672.0000, 653.4445, 1, 21, 1.4461, 9.7258, 8.2797, 2.6674, 0.6012, 0.3988, 122.43, 88.56, 122.43, 88.56, 0, 0, 0, 1, ok, ok
46.433, 4.1884, 95.3558, 6.0993, 2.5460, 4.1884, 95.3558, 6.0993, 0.5610, -0.8278, 124.48, 91.02, 0.5610, -0.8278, -3.4673, 2.3495, 0.7489, 669.0000, 629.2222, 1, 21, 0.6099, 9.8056, 9.1957, 3.0548, 0.6024, 0.3976, 124.48, 91.02, 124.48, 91.02, 0, 0, 0, 1, ok, ok
47.165, 3.6702, 92.1502, 6.1038, 2.3963, 3.6702, 92.1502, 6.1038, 0.6782, -0.7349, 119.99, 86.74, 0.6782, -0.7349, -2.6973, 2.4890, 0.8062, 598.0000, 651.1111, 1, 19, 1.0016, 9.5702, 8.5686, 2.7176, 0.5569, 0.4431, 119.99, 86.74, 119.99, 86.74, 0, 0, 0, 1, ok, ok
47.766, 4.5479, 86.7609, 5.2078, 2.5408, 4.5479, 86.7609, 5.2078, 0.5653, -0.8249, 128.58, 91.18, 0.5653, -0.8249, -3.7516, 2.5708, 0.3935, 668.0000, 691.5556, 1, 21, 0.5208, 9.7465, 9.2257, 3.2398, 0.5958, 0.4042, 128.58, 91.18, 128.58, 91.18, 0, 0, 0, 1, ok, ok
48.366, 4.5515, 92.7676, 6.1032, 2.7716, 4.5515, 92.7676, 6.1032, 0.3616, -0.9323, 130.78, 94.61, 0.3616, -0.9323, -4.2435, 1.6459, 0.7300, 746.0000, 646.7778, 1, 23, 0.5365, 9.8500, 9.3135, 3.3002, 0.6314, 0.3686, 130.78, 94.61, 130.78, 94.61, 0, 0, 0, 1, ok, ok
